lambda,seed,Acc,Sens,Spec,mean_yhat,n_pred_Up,n_pred_Down,is_MC
0.0,23,0.15384615384615385,0.0,1.0,0.17491088891997045,0,39,True
0.0,27,0.8461538461538461,1.0,0.0,0.5801843114062977,39,0,True
0.0,98,0.8461538461538461,1.0,0.0,0.577099962501564,39,0,True
0.1,23,0.15384615384615385,0.0,1.0,0.17495668532636005,0,39,True
0.1,27,0.8461538461538461,1.0,0.0,0.580013394960135,39,0,True
0.1,98,0.8461538461538461,1.0,0.0,0.5772620125879785,39,0,True
0.3,23,0.15384615384615385,0.0,1.0,0.17504840924675913,0,39,True
0.3,27,0.8461538461538461,1.0,0.0,0.5796720171325334,39,0,True
0.3,98,0.8461538461538461,1.0,0.0,0.5775844251103087,39,0,True
0.5,23,0.15384615384615385,0.0,1.0,0.17514034346394222,0,39,True
0.5,27,0.8461538461538461,1.0,0.0,0.579331224164958,39,0,True
0.5,98,0.8461538461538461,1.0,0.0,0.5779046013952708,39,0,True
1.0,23,0.15384615384615385,0.0,1.0,0.17537137885168186,0,39,True
1.0,27,0.8461538461538461,1.0,0.0,0.5784816274380506,39,0,True
1.0,98,0.8461538461538461,1.0,0.0,0.5786953696433793,39,0,True
